Model,2010,2011,2012,2013,2017,2014,2015,2016,2018,2019,2020,2021,2022,2023
A3,,,,,,45581,47653,43808,,,,,,30159
1 Series,,,34488,41883,,,,,,,,,,
3 Series,42020,42471,44521,43494,,,,,,,,,,
500,,,,,,44005,,,,,,,,
Fiesta,103013,96112,109265,121929,94533,131254,133434,120525,95892,77833,49174,,25070,
Focus,77804,81832,83115,87350,69903,85140,83816,70545,50492,56619,39372,,,
Kuga,,,,,,,,,40398,41671,,,26549,
Puma,,,,,,,,,,,26294,28697,35088,49591
Tucson,,,,,,,,,,,,,27839,34469
Sportage,,,,,,,,,35567,34502,,27611,29655,36135
Mini,41883,35845,,,47669,,47075,48328,44904,41188,31233,31792,32387,33385
A Class,,,,,43717,,,,43527,53724,37608,30710,,
C Class,,,37261,,45912,,,44184,,,,,,
Juke,,,,,,39263,,,,,,,,31745
Qashqai,39048,39406,45675,50211,64216,49909,60814,62682,50546,52532,33972,29922,42704,43321
207,42185,,,,,,,,,,,,,
208,,,,38616,,,,,,,,,,
Model 3,,,,,,,,,,,,,,
Model Y,,,,,,,,,,,,,,
Yaris,,,,,,,,,,,,27415,,
Astra,80646,62575,63023,68070,49370,59689,52703,60719,,,,,,
Corsa,77398,77751,89434,84275,52772,81783,92077,77110,52915,54239,46439,40914,35910,40816
Insignia,,46324,,,,,,,,,,,,
Mokka,,,,,,,45399,,,,,,,29984
Golf,58116,63368,62021,64951,74605,73880,73409,69492,64829,58994,43109,30240,26558,
Polo,45517,45992,41901,42609,47855,48004,54900,54448,45149,37453,26965,30634,,
XC40,,,,,,,,,,,25023,,,
